Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
first,male,45.5,0,0,28.5,S
second,male,23.0,0,0,13.0,S
third,male,32.0,0,0,7.925,S
third,male,26.0,1,0,7.8542,S
third,female,6.0,4,2,31.275,S
first,male,24.0,0,1,64.3625,C
first,male,45.0,0,0,26.55,S
second,male,29.0,1,0,27.7208,C
third,male,29.498846153846156,0,0,7.8958,S
first,male,29.498846153846156,0,0,35.5,S
second,female,42.0,0,0,13.0,S
third,male,36.0,1,1,24.15,S
second,male,33.0,0,0,12.275,S
third,male,17.0,1,0,7.0542,S
third,male,29.0,0,0,9.5,S
second,female,50.0,0,1,26.0,S
first,female,35.0,1,0,64.3625,S
first,female,38.0,0,0,64.3625,C
second,male,34.0,0,0,13.0,S
first,female,17.0,1,0,57.0,S
third,female,11.0,4,2,31.275,S
third,male,61.0,0,0,6.2375,S
third,female,30.0,0,0,8.6625,S
second,female,7.0,0,2,26.25,S
third,female,63.0,0,0,9.5875,S
third,male,20.0,0,0,7.2292,C
third,female,29.498846153846156,0,2,22.3583,C
third,male,29.0,0,0,9.4833,S
first,male,36.0,1,2,64.3625,S
third,male,29.498846153846156,0,0,14.4583,C
third,male,50.0,0,0,8.05,S
first,male,27.0,0,2,64.3625,C
third,male,30.0,0,0,7.25,S
first,female,33.0,1,0,64.3625,Q
third,male,29.498846153846156,0,0,7.725,Q
third,female,29.498846153846156,3,1,25.4667,S
third,male,2.0,3,1,21.075,S
second,female,25.0,1,1,30.0,S
first,male,51.0,0,1,61.3792,C
second,female,25.0,0,1,26.0,S
third,male,29.498846153846156,0,0,7.25,S
third,male,29.498846153846156,0,0,7.8958,S
second,female,24.0,0,0,13.0,S
third,male,18.0,1,1,20.2125,S
first,male,29.498846153846156,0,0,30.5,S
third,male,25.0,0,0,7.05,S
second,female,24.0,0,2,14.5,S
third,male,22.0,0,0,7.5208,S
first,male,0.92,1,2,64.3625,S
second,female,24.0,1,0,26.0,S
third,female,26.0,0,0,7.925,S
second,male,34.0,1,0,21.0,S
first,female,21.0,2,2,64.3625,C
third,male,29.498846153846156,0,0,7.75,Q
third,female,29.498846153846156,0,0,7.2292,C
third,male,29.498846153846156,0,0,8.6625,S
third,female,22.0,0,0,7.775,S
first,female,62.0,0,0,64.3625,S
third,female,18.0,0,0,9.8417,S
first,female,42.0,0,0,64.3625,C
second,male,57.0,0,0,12.35,Q
third,male,19.0,0,0,0.0,S
second,female,42.0,1,0,26.0,S
third,male,29.498846153846156,0,0,7.225,C
third,female,20.0,0,0,8.6625,S
third,male,34.5,0,0,6.4375,C
third,male,28.0,0,0,9.5,S
third,male,29.498846153846156,0,0,8.05,S
third,male,23.0,0,0,7.8958,S
third,male,22.0,0,0,7.25,S
first,male,52.0,0,0,30.5,S
third,female,30.0,0,0,12.475,S
second,male,36.5,0,2,26.0,S
third,male,29.498846153846156,0,0,7.75,Q
third,male,22.0,0,0,7.2292,C
first,male,50.0,2,0,64.3625,S
third,male,27.0,0,0,6.975,S
third,male,22.0,0,0,8.05,S
first,female,51.0,1,0,64.3625,S
second,male,36.0,0,0,10.5,S
second,female,29.0,1,0,26.0,S
first,female,22.0,0,0,64.3625,S
first,male,50.0,1,0,64.3625,C
second,female,40.0,0,0,13.0,S
third,male,27.0,0,0,8.6625,S
first,male,29.498846153846156,0,0,0.0,S
first,male,65.0,0,0,26.55,S
third,male,17.0,0,0,8.6625,S
first,male,28.0,0,0,26.55,S
first,male,4.0,0,2,64.3625,S
third,male,29.498846153846156,0,0,7.8958,S
third,female,1.0,1,1,11.1333,S
second,male,36.0,1,2,27.75,S
second,male,43.0,1,1,26.25,S
first,male,38.0,0,1,64.3625,S
second,female,31.0,1,1,26.25,S
third,male,29.0,0,0,8.05,S
third,male,18.0,0,0,8.3,S
second,male,29.498846153846156,0,0,15.05,C
first,female,39.0,1,1,64.3625,C
second,male,39.0,0,0,13.0,S
third,male,26.0,2,0,8.6625,S
third,male,20.0,0,0,7.05,S
first,female,29.498846153846156,1,0,64.3625,S
third,male,49.0,0,0,0.0,S
second,male,23.0,0,0,15.0458,C
third,male,1.0,4,1,39.6875,S
third,female,29.498846153846156,0,0,7.8792,Q
third,male,29.498846153846156,1,2,23.45,S
second,male,3.0,1,1,26.0,S
third,male,4.0,1,1,11.1333,S
third,male,19.0,0,0,7.65,S
third,male,40.5,0,0,7.75,Q
third,female,1.0,0,2,15.7417,C
third,female,29.498846153846156,0,2,15.2458,C
third,male,21.0,0,0,7.925,S
first,male,54.0,0,0,51.8625,S
third,male,29.498846153846156,0,0,15.5,Q
second,male,25.0,1,2,41.5792,C
third,male,26.0,1,0,14.4542,C
third,female,22.0,0,0,10.5167,S
third,female,31.0,1,1,20.525,S
first,male,49.0,1,0,64.3625,C
second,male,19.0,1,1,36.75,S
second,male,24.0,0,0,10.5,S
third,male,16.0,0,0,8.05,S
first,male,25.0,1,0,55.4417,C
third,male,39.0,0,0,24.15,S
third,female,47.0,1,0,14.5,S
first,male,60.0,0,0,26.55,S
second,male,24.0,0,0,13.0,S
first,male,29.498846153846156,0,0,50.0,S
second,female,27.0,1,0,21.0,S
second,male,29.498846153846156,0,0,13.8625,C
third,male,38.0,0,0,7.8958,S
third,male,44.0,0,0,8.05,S
second,female,21.0,0,0,10.5,S
third,female,24.0,0,2,16.7,S
second,female,45.0,0,0,13.5,S
second,male,8.0,1,1,36.75,S
third,female,8.0,3,1,21.075,S
first,male,29.498846153846156,0,0,35.0,S
third,male,32.0,0,0,8.05,S
first,male,50.0,1,0,55.9,S
third,male,21.0,0,0,7.8,S
second,female,50.0,0,0,10.5,S
third,female,23.0,0,0,7.925,S
third,male,32.0,0,0,7.8542,S
third,female,29.498846153846156,0,0,7.75,Q
third,female,21.0,2,2,34.375,S
third,male,29.498846153846156,0,0,7.75,Q
third,male,25.0,0,0,7.225,C
third,male,15.0,1,1,7.2292,C
third,female,31.0,1,0,18.0,S
second,male,25.0,0,0,13.0,S
second,male,54.0,0,0,26.0,S
first,male,28.0,0,0,47.1,S
first,female,38.0,0,0,64.3625,S
second,female,41.0,0,1,19.5,S
third,male,33.0,0,0,8.6625,C
second,male,52.0,0,0,13.5,S
third,male,16.0,1,1,20.25,S
third,male,20.0,0,0,8.05,S
third,male,9.0,4,2,31.3875,S
third,male,29.498846153846156,0,0,8.1125,S
third,male,29.498846153846156,0,0,7.8292,Q
third,male,29.498846153846156,0,0,7.8958,S
first,female,54.0,1,0,59.4,C
third,male,26.0,0,0,7.8958,S
first,male,60.0,1,1,64.3625,C
third,male,29.498846153846156,0,0,56.4958,S
first,female,44.0,0,1,57.9792,C
third,male,20.0,1,0,7.925,S
third,male,29.498846153846156,3,1,25.4667,S
second,male,16.0,0,0,10.5,S
